C,NEMP.WORLD,DISPATCHIS,AEMO,PUBLIC,2026/09/04,03:50:08,0000000535967869,DISPATCHIS,0000000535967868
I,DISPATCH,CASE_SOLUTION,2,SETTLEMENTDATE,RUNNO,INTERVENTION,CASESUBTYPE,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,SWITCHRUNINITIALSTATUS,SWITCHRUNBESTSTATUS,SWITCHRUNBESTSTATUS_INT
D,DISPATCH,CASE_SOLUTION,2,"2026/09/04 03:55:00",1,0,,1,,0,-51665408.0550,0,0,0,0,0.28,,,,,0,0,0,"2026/09/04 03:50:03",1,1,
I,DISPATCH,LOCAL_PRICE,1,SETTLEMENTDATE,DUID,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",AGLHAL,-1.84,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",ALDGASF1,-9.72,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",BARCALDN,-7.5,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",BARRON-1,-7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",BARRON-2,-7.61,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",BASTYAN,-69.23,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",BBATTERY1,-7.84,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",BLUFF1,-1.64,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",BRDDBES1,-7.6,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",BRDDSF01,-7.6,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",CALL_B_1,-6.3,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",CALL_B_2,-6.3,1
D,DISPATCH,LOCAL_PRICE,1,"2026/09/04 03:55:00",CHILDSF1,3.87,1
