C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2026/09/04,03:55:33,0000000535968557,P5MIN,0000000535968554
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2026/09/04 04:00:00","2026/09/04 04:00:00",0,-389765477.1110,0,0,0,0,0,9.48,,,,,0,0,0,0,"2026/09/04 03:55:31"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:00:00",-75.13,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:05:00",-35.16,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:10:00",-25.91,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:15:00",-27.62,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:20:00",-26.23,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:25:00",-26.67,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:30:00",-28.85,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:35:00",-13.26,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:40:00",-13.94,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:45:00",-34.37,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:50:00",-39.98,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",ALDGASF1,"2026/09/04 04:55:00",-40.62,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:00:00",-57.93,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:05:00",-27.11,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:10:00",-19.98,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:15:00",-21.3,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:20:00",-20.22,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:25:00",-20.56,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:30:00",-22.24,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:35:00",-10.23,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:40:00",-10.75,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:45:00",-26.5,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:50:00",-30.83,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARCALDN,"2026/09/04 04:55:00",-31.32,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:00:00",-58.81,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:05:00",-27.52,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:10:00",-20.28,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:15:00",-21.62,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:20:00",-20.53,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:25:00",-20.88,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:30:00",-22.58,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:35:00",-10.38,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:40:00",-10.91,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:45:00",-26.9,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:50:00",-31.29,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-1,"2026/09/04 04:55:00",-31.79,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BARRON-2,"2026/09/04 04:00:00",-58.81,1,"2026/09/04 03:55:31"
