C,NEMP.WORLD,PREDISPATCH,AEMO,PUBLIC,2026/09/04,03:32:05,0000000535965578,,0000000535965573
I,PREDISPATCH,CASESOLUTION,2,PREDISPATCHSEQNO,RUNNO,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,INTERVENTION
D,PREDISPATCH,CASESOLUTION,2,"2026/09/04 04:00:00",1,2,,0,-540471836.4080,0,0,0,0,0,,,,,0,0,0,"2026/09/04 03:31:55",0
I,PDREGION,,5,PREDISPATCHSEQNO,RUNNO,REGIONID,PERIODID,RRP,EEP,TOTALDEMAND,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,RAISEREGRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP,LOWERREGRRP,RAISE6SECACTUALAVAILABILITY,RAISE60SECACTUALAVAILABILITY,RAISE5MINACTUALAVAILABILITY,RAISEREGACTUALAVAILABILITY,LOWER6SECACTUALAVAILABILITY,LOWER60SECACTUALAVAILABILITY,LOWER5MINACTUALAVAILABILITY,LOWERREGACTUALAVAILABILITY,DECAVAILABILITY,LORSURPLUS,LRCSURPLUS,INTERVENTION,LOWER1SECLOCALDISPATCH,RAISE1SECLOCALDISPATCH,RAISE1SECACTUALAVAILABILITY,LOWER1SECACTUALAVAILABILITY,SS_SOLAR_AVAILABILITY,SS_WIND_AVAILABILITY,RAISE1SECRRP,LOWER1SECRRP
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 04:00:00",87.86,0,6498.76,5353.18,5.59,-1151.17,0,,,68,,,,,,,,78,,,,,,,,78,,,,,,,,72.58,,,,,,,,71.58,,,,,,,,70.58,,,,,,11258.76,2560,6655.69763,6539.3,,0,,,,14,,,,,,,,,,,,,,,,,,,0.04,0.04,0.01,3.68,0.01,0.01,0.01,0.7,735.582890,817.582890,1044.582890,583,834,957,867,682.999880,10802.313280,,,0,38.09,52,562,591,0,395.76,0.02,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 04:30:00",97.63005,0,6556.3,5488.37,31,-1098.92,0,,,78,,,,,,,,78,,,,,,,,78,,,,,,,,67,,,,,,,,66,,,,,,,,65,,,,,,11208.974,2065,6539.30363,6620.37,,0,,,,18,,,,,,,,,,,,,,,,,,,0.04,0.03,0.01,7.8,0.01,0.01,0.01,0.37,726,808,1035,643,900,1023,933,849.949153,10753.178540,,,0,31.59,52,566,591,0,391.974,0.03,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 05:00:00",97.63005,0,6646.49,5560.19,0,-1086.3,0,,,68,,,,,,,,78,,,,,,,,78,,,,,,,,67,,,,,,,,66,,,,,,,,71,,,,,,11054.103,2065,6620.36639,6672.31,,0,,,,18,,,,,,,,,,,,,,,,,,,0.04,0.04,0.01,4.98,0.01,0.01,0.01,0.37,726,808,1035,643,900,1023,933,849.949153,10600.127540,,,0,41.22,52,566,591,0,375.103,0.03,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 05:30:00",111.38812,0,6864.88,5619.73,0,-1245.15,0,,,78,,,,,,,,78,,,,,,,,78,,,,,,,,67,,,,,,,,66,,,,,,,,65,,,,,,11032.729,2065,6672.31398,6895.35,,0,,,,18,,,,,,,,,,,,,,,,,,,0.04,0.04,0.01,5,0.01,0.01,0.01,0.37,726,808,1035,593,900,1023,933,899.949153,10578.753540,,,0,41.68,52,566,591,0,358.729,0.03,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 06:00:00",112.20153,0,7095.5,5908.56,0,-1186.94,0,,,78,,,,,,,,78,,,,,,,,78,,,,,,,,73.23,,,,,,,,66,,,,,,,,65,,,,,,11046.56,2065,6895.35264,7123.3,,0,,,,19,,,,,,,,,,,,,,,,,,,0.04,0.04,0.01,3.46,0.01,0.01,0.01,1,726,808,922,643,900,1023,933,849.949153,10564.651580,,,0,31.2,52,566,591,0,337.56,0.03,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 06:30:00",130.5676,0,7445.29,6112.39,0,-1332.9,0,,,14,,,,,,,,78,,,,,,,,78,,,,,,,,39,,,,,,,,42,,,,,,,,36,,,,,,10828.39,2065,7123.29928,7479.59,,0,,,,18,,,,,,,,,,,,,,,,,,,0.04,0.04,0.02,3,0.01,0.01,0.01,1,625,573,772,292,900,1023,933,899.949153,10584.808360,,,0,29.08,25,476,591,18.992,315.398,0.03,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 07:00:00",139.67551,0,7618.55,5957.14,0,-1661.42,0,,,68,,,,,,,,78,,,,,,,,78,,,,,,,,50,,,,,,,,65.25,,,,,,,,62.25,,,,,,10787.138,2065,7479.5903,7677.85,,0,,,,28,,,,,,,,,,,,,,,,,,,0.09,0.09,0.03,7.8,0.01,0.01,0.01,2.18,471,542,835,300,900,1023,933,434.949153,10372.205540,,,0,26.65,17,314,591,330.878,298.26,0.04,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 07:30:00",83.99,0,7469.33,6562.49,0,-906.84,0,,,68,,,,,,,,78,,,,,,,,78,,,,,,,,57,,,,,,,,41,,,,,,,,41,,,,,,11702.465,2065,7677.85318,7507.67,,0,,,,28,,,,,,,,,,,,,,,,,,,0.09,0.09,0.03,4.98,0.01,0.01,0,3.75,471,541,834,300,900,1023,933,849.949153,11242.4650,,,0,22.61,25,314,591,1292.301,309.164,0.04,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 08:00:00",0.01135,0,7146.1,6707.63,13,-451.46,0,,,78,,,,,,,,78,,,,,,,,78,,,,,,,,70.81,,,,,,,,57,,,,,,,,51.03,,,,,,12932.906,2065,7507.67247,7182.72,,0,,,,54,,,,,,,,,,,,,,,,,,,0.09,0.08,0.02,7.8,0.01,0.01,0.01,0.99,633,703,1006,461,836.024840,847.024840,807.024840,703.024840,12472.9060,,,0,31.04,25,539,591,2495.985,320.921,0.04,0
D,PDREGION,,5,"2026/09/04 04:00:00",1,NSW1,"2026/09/04 08:30:00",13.20001,0,6685.62,6942.26,603,-346.36,0,,,14,,,,,,,,78,,,,,,,,78,,,,,,,,73,,,,,,,,51,,,,,,,,45,,,,,,14156.725,2540,7182.71695,7335.5,,3,,,,108,,,,,,,,,,,,,,,,,,,0.04,0.04,0.02,4.69,0.01,0.01,0.01,0.99,783,924,1130,951,813,824,784,549,13383.4693,,,0,27.02,25,539,591,3265.387,341.338,0.03,0
